Estacion,precEne,precFeb,precMar,precAbr,precMay,precJun,precJul,precAgo,precSep,precOct,precNov,precDic,evaEne,evaFeb,evaMar,evaAbr,evaMay,evaJun,evaJul,evaAgo,evaSep,evaOct,evaNov,evaDic,tempMaxEne,tempMaxFeb,tempMaxMar,tempMaxAbr,tempMaxMay,tempMaxJun,tempMaxJul,tempMaxAgo,tempMaxSep,tempMaxOct,tempMaxNov,tempMaxDic,tempMinEne,tempMinFeb,tempMinMar,tempMinAbr,tempMinMay,tempMinJun,tempMinJul,tempMinAgo,tempMinSep,tempMinOct,tempMinNov,tempMinDic
EstacionAgs,14.066,9.4222,5.2783,7.4342,17.962,90.897,125.42,117.74,92.461,34.201,10.141,12.113,142.25,174.83,253.77,279.82,294.35,238.21,204.8,200.28,171.48,171.72,149.93,131.72,22.318,24.133,26.763,29.203,30.851,29.494,27.388,27.405,26.369,25.935,24.558,22.628,4.8393,6.2573,8.8625,11.724,14.283,15.52,14.718,14.606,14.069,11.379,7.6483,5.5909
EstacionAsientos,19.441,12.343,5.8796,11.609,25,62.296,92.885,89.17,68.194,29.961,11.393,12.7,118.98,137.97,186.25,204.98,212.73,188.97,167.55,154.96,140.76,134.59,120.72,114.31,21.534,23.405,25.986,28.006,29.394,28.459,26.654,26.542,25.55,24.983,23.888,21.945,4.726,5.7825,8.1624,10.157,11.927,12.382,11.771,11.88,11.177,9.2645,7.0486,5.4768
EstacionCalvillo,16.393,10.54,3.4616,7.8627,18.176,94.844,154.75,143.46,104.06,34.577,12.15,12.32,118.37,141,211.27,236.32,254.25,210.81,171.79,159.92,138.36,135.65,117.7,105.09,23.928,25.601,28.863,30.928,33.325,31.499,28.386,28.156,27.841,27.979,26.547,24.387,3.5891,4.2423,6.0642,8.6618,11.879,14.402,13.858,13.625,13.159,10.308,6.2676,4.3482
EstacionGanaderiaPenuelas,17.644,7.612,7.116,12.903,18.415,91.241,111.2,122.03,80.765,36.088,6.926,10.833,128.37,154.75,216.15,241.45,259.92,218.67,177.09,171.54,158,156.48,140.53,122.67,22.624,24.441,26.898,29.69,31.114,29.792,27.538,27.274,26.426,25.715,24.88,22.432,4.2733,4.995,7.3286,10.031,13.173,14.97,14.308,14.204,13.749,10.621,6.6207,5.2326
EstacionMalpaso,14.877,9.5628,3.9652,6.7916,18.627,88.791,135.92,126,92.758,38.598,10.878,11.723,143.55,167.39,230.88,253.59,274.03,227.58,195.09,188.44,169.92,171.63,151.66,135.67,23.972,25.765,28.477,30.88,32.397,30.866,28.627,28.43,27.677,27.444,26.222,24.329,6.4155,7.0102,8.8699,11.065,13.735,15.599,14.657,14.57,14.271,12.234,8.9893,7.3545
EstacionPabellonCampoEmpresarial,15.957,7.1621,4.9855,6.48,19.607,72.909,108.08,92.537,80.706,33.782,10.276,12.36,127.02,153.47,225.94,249.41,256.95,209.25,175.33,167.85,140.24,136.93,120.36,113.37,21.807,23.668,26.329,28.695,30.103,28.703,26.594,26.688,25.826,25.308,24.085,22.312,1.5471,2.8036,5.2035,8.1146,11.39,13.37,12.918,12.595,11.869,8.4204,4.3143,2.5569
EstacionPresaElNiagara,15.409,11.725,5.7296,7.7859,18.453,89.484,136.73,120.1,100.6,38.803,12.079,12.098,115.33,143.82,214.42,238.22,253.02,205.4,166.93,155.3,131.89,127.68,112.93,100.86,23.702,25.683,28.405,30.761,32.351,30.826,28.056,27.902,27.208,27.039,25.993,24.021,2.8649,3.6347,5.5987,8.2181,11.296,14.208,13.801,13.511,13.035,10.047,5.9945,3.8667
EstacionPresaJocoque,16.611,7.9389,5.3582,6.523,19.16,76.157,105.61,102.82,87.105,33.925,10.976,12.239,112.02,138.19,214.59,245.16,254.46,202.54,169.65,161.25,131.39,126.4,113.23,102.47,21.897,23.923,26.664,29.196,30.45,28.654,26.683,26.694,25.57,25.413,24.37,22.515,3.8929,5.1664,7.3699,10.071,12.423,13.885,13.276,13.053,12.67,9.8843,6.5045,4.5976
EstacionPresaPlutarcoEliasCalles,15.611,7.9569,4.6522,5.6011,20.219,86.71,109.7,100.74,81.288,35.048,9.5977,10.402,118.54,147.23,221.22,245.98,251.56,200.19,167.69,159.44,130.5,127.32,114.1,105.35,21.751,23.398,26.071,28.52,29.945,28.435,26.26,26.328,25.256,25.214,24.022,22.15,3.8806,5.1099,7.4054,10.152,12.428,13.726,13.275,13.061,12.496,9.6595,6.1949,4.5472
EstacionPresaPotrerillos,16.755,9.6789,6.9506,8.1141,19.4,83.087,107.62,100.09,86.939,38.381,11.065,12.047,125.9,158.3,235.31,258.7,259.29,199.89,166.57,157.84,126.9,126.68,120.37,111.53,20.783,22.567,25.133,27.476,28.961,27.749,25.623,25.599,24.624,24.392,23.194,21.405,4.2543,5.3183,7.5608,10.308,12.372,13.528,13.054,12.869,12.372,9.8014,6.5032,5.0733
EstacionPuertoDeLaConcepcion,23.508,12.033,7.1645,9.3393,19.188,85.17,127.1,106.61,89.116,38.409,11.229,14.198,104.53,122.61,180.93,214.83,236.07,188.89,159.96,150.59,125.09,119.84,106.53,97.467,20.86,22.513,25.008,27.727,29.15,27.706,25.653,25.467,24.54,23.813,22.736,21.142,5.2335,6.0006,7.9819,10.219,11.994,12.223,11.547,11.744,11.266,9.6802,7.4334,6.0339
EstacionRanchoViejo,19.239,12.898,7.4383,6.5803,21.383,86.764,144.79,122.17,102.99,40.756,10.431,12.918,136.54,150.46,187.25,213.07,240.58,210.07,169.17,162.85,137.48,143.75,130.96,132.18,21.796,23.575,26.316,28.983,30.506,29.01,26.678,26.282,25.382,25.245,23.961,21.796,3.3298,4.2797,6.5537,9.4092,11.627,12.691,12.264,11.89,11.378,8.5797,5.3105,3.5575
EstacionSanBartolo,14.093,9.46,6.1444,7.8371,23.565,92.768,130.51,119.64,96.579,35.253,11.829,10.786,122.62,150.25,213.07,233.4,253.49,199.81,171.89,166.71,148.73,144.28,126.34,113.77,22.974,24.544,27.111,29.441,31.108,29.625,27.351,27.285,26.533,26.205,25.137,23.167,2.8752,4.2025,6.4564,9.066,11.526,13.125,12.756,12.603,12.109,9.2821,5.4881,3.7022
EstacionVenadero,16.205,9.8442,5.6916,8.5619,17.187,91.895,121.23,116.06,91.787,38.262,11.012,13.663,142.71,171.55,245.11,273.21,285.62,231.44,189.02,176.3,149.97,157.04,143.53,129.95,21.822,23.507,26.272,28.775,30.254,28.968,26.558,26.319,25.396,25.011,23.744,21.867,4.7152,5.824,7.8474,10.264,12.483,14.08,13.563,13.427,12.877,10.443,7.3588,5.5843
