Estacion,precEne,precFeb,precMar,precAbr,precMay,precJun,precJul,precAgo,precSep,precOct,precNov,precDic,evaEne,evaFeb,evaMar,evaAbr,evaMay,evaJun,evaJul,evaAgo,evaSep,evaOct,evaNov,evaDic,tempMaxEne,tempMaxFeb,tempMaxMar,tempMaxAbr,tempMaxMay,tempMaxJun,tempMaxJul,tempMaxAgo,tempMaxSep,tempMaxOct,tempMaxNov,tempMaxDic,tempMinEne,tempMinFeb,tempMinMar,tempMinAbr,tempMinMay,tempMinJun,tempMinJul,tempMinAgo,tempMinSep,tempMinOct,tempMinNov,tempMinDic,Latitud,Longitud,Grupo
EstacionAgs,14.066,9.4222,5.2783,7.4342,17.962,90.897,125.42,117.74,92.461,34.201,10.141,12.113,142.25,174.83,253.77,279.82,294.35,238.21,204.8,200.28,171.48,171.72,149.93,131.72,22.318,24.133,26.763,29.203,30.851,29.494,27.388,27.405,26.369,25.935,24.558,22.628,4.8393,6.2573,8.8625,11.724,14.283,15.52,14.718,14.606,14.069,11.379,7.6483,5.5909,21.896,-102.309,1
EstacionAgs2,9.416,15.117,7.1692,7.9846,19.752,107.24,125.69,115.1,97.483,30.636,11.595,7.768,130.09,149.57,214.9,244.34,257.78,222.54,180.82,172.59,149.61,150.59,132.57,118.22,21.928,23.596,26.039,28.853,30.663,29.95,27.944,27.869,25.711,24.988,22.844,21.894,2.8281,4.2789,6.9205,9.6189,12.354,14.382,13.531,13.364,11.129,8.9059,5.7812,3.4615,21.906,-102.265,1
EstacionAlamitosCampamento,18.823,22.335,14.3,6.2428,29.318,134.21,165.95,145.06,127.79,53.321,17.422,24.276,92.977,115.06,160.71,195.5,192.41,151.87,134,136.75,108.13,108.63,85.232,80.913,18.515,20.683,22.925,25.523,26.404,25.25,23.208,23.254,22.093,21.936,20.725,18.993,1.4377,2.8883,4.768,6.5355,8.2608,9.676,9.5647,9.6466,9.8021,6.7424,4.1742,2.3754,22.178,-102.586,2
EstacionArroyoHondo,12.75,18.958,3.5454,2.2307,16.058,99.015,102.54,89.446,89.338,20.538,8.9166,9.0769,110.81,135.92,208.96,228.16,248.72,217.93,174.17,163.93,121.64,123.17,112.58,102.2,17.529,18.871,21.879,24.227,26.012,25.372,23.784,22.776,20.363,21.631,18.426,17.853,0.15,0.946,3.5923,4.9025,7.7231,9.1218,9.4489,8.1029,8.1961,6.222,1.6666,0.398,22.183,-102.208,3
EstacionCalvillito,15.108,10.722,5.4631,5.9891,22.318,92.367,127.24,112.58,95.897,35.218,9.3783,10.613,111.89,128.06,190.72,219.53,230.88,187.5,152.33,149.78,123.09,121.73,104.26,99.789,21.94,23.533,26.447,28.709,30.412,28.549,26.477,26.557,25.736,25.164,23.802,22.444,1.0497,2.0099,4.2034,6.4451,9.4453,12.266,12.101,11.749,11.114,7.4023,3.465,1.3783,21.835,-102.183,3
EstacionCalvillo,16.393,10.54,3.4616,7.8627,18.176,94.844,154.75,143.46,104.06,34.577,12.15,12.32,118.37,141,211.27,236.32,254.25,210.81,171.79,159.92,138.36,135.65,117.7,105.09,23.928,25.601,28.863,30.928,33.325,31.499,28.386,28.156,27.841,27.979,26.547,24.387,3.5891,4.2423,6.0642,8.6618,11.879,14.402,13.858,13.625,13.159,10.308,6.2676,4.3482,21.837,-102.712,2
EstacionCanadaHonda,16.884,10.346,4.875,6.934,22.73,82.792,122.06,101.9,84.808,33.026,11.151,10.131,97.707,121.43,182.02,209.36,224.43,190.33,165.25,158.62,133.13,126.19,99.973,89.035,22.865,24.652,27.324,29.559,30.967,29.333,27.137,27.127,26.311,26.255,24.771,23.43,1.2845,2.3001,4.4743,7.2321,9.7751,12.655,12.417,12.099,11.567,8.0623,3.8527,1.7539,22.001,-102.199,3
EstacionCieneguilla,15.628,11.53,3.3214,2.9153,14.748,80.258,132.61,109.75,81.373,29.56,7.7625,10.657,128.47,147.77,211.96,228.72,235.71,198.64,167.54,169.27,152.07,157.59,139.26,131.04,23.816,25.944,28.804,30.745,32.416,31.01,28.711,28.813,27.878,27.394,25.861,24.075,3.6072,5.4783,7.6424,9.6073,12.286,13.327,13.351,12.978,12.511,9.9606,6.5841,4.2714,21.731,-102.453,2
EstacionCosio,20.857,10.535,3.3857,7.0902,19.085,68.719,103.51,81.42,75.107,31.855,10.939,13.531,130.14,150.66,203.83,231.94,242.17,205.9,175.27,169.81,149.83,148.18,133.43,122.48,20.404,22.587,25.137,27.294,28.869,28.078,26.152,25.982,25.109,24.453,22.944,20.823,3.3226,4.6284,6.6891,9.371,11.527,12.663,12.25,12.016,11.632,9.2705,5.8238,3.9967,22.363,-102.297,3
EstacionElChayote,16.089,12.054,6.0897,3.6435,16.99,70.957,105.45,85.532,67.882,33.094,11.526,13.128,110.37,123.42,181.69,201.29,217.21,190.47,166.34,161.86,129.96,126.51,111.16,101.51,21.583,23.078,25.939,27.78,29.718,29.213,27.199,26.814,25.709,25.227,23.927,22.143,0.6599,1.945,3.7704,6.6254,9.3359,10.941,10.51,10.103,9.6003,7.1665,2.8245,1.3213,22.286,-102.236,3
